epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,573.373,0.93276,0.59515,1.3165,0.96831,0.94146,0.9872,0.64689,1.20063,0.55551,1.64208,0.000742625,0.000742625,0.000742625
43,587.153,0.92985,0.59348,1.31918,0.95188,0.96986,0.97304,0.70984,1.00069,0.49156,1.41454,0.00073025,0.00073025,0.00073025
44,601.114,0.91006,0.5768,1.31364,0.92283,0.96596,0.97123,0.69432,0.99553,0.49515,1.44826,0.000717875,0.000717875,0.000717875
45,614.711,0.91797,0.58353,1.30712,0.97281,0.92065,0.97864,0.66937,1.08031,0.54726,1.45951,0.0007055,0.0007055,0.0007055
46,628.072,0.9075,0.57193,1.29759,0.94249,0.93465,0.97151,0.67628,1.07062,0.55213,1.48814,0.000693125,0.000693125,0.000693125
47,641.55,0.88511,0.55485,1.29444,0.93996,0.94423,0.96443,0.6853,1.02434,0.5074,1.47002,0.00068075,0.00068075,0.00068075
48,655.348,0.88576,0.56141,1.29798,0.9467,0.94449,0.96541,0.68042,0.99308,0.47279,1.42965,0.000668375,0.000668375,0.000668375
49,669.145,0.88627,0.54556,1.28246,0.90161,0.94221,0.95992,0.69325,1.0069,0.48243,1.45105,0.000656,0.000656,0.000656
50,682.496,0.87659,0.55035,1.27972,0.98073,0.94828,0.98097,0.71274,0.98715,0.49642,1.44083,0.000643625,0.000643625,0.000643625
51,695.847,0.88011,0.54929,1.28464,0.92133,0.94858,0.95306,0.69202,1.00961,0.49981,1.46988,0.00063125,0.00063125,0.00063125
52,709.214,0.86442,0.54641,1.27586,0.98828,0.94501,0.97177,0.70439,1.01222,0.4742,1.48078,0.000618875,0.000618875,0.000618875
53,722.619,0.8742,0.55021,1.28469,0.89102,0.975,0.97937,0.71017,0.9807,0.46558,1.44465,0.0006065,0.0006065,0.0006065
54,736.116,0.84786,0.52652,1.2636,0.94739,0.92394,0.96932,0.70784,0.9888,0.45198,1.42112,0.000594125,0.000594125,0.000594125
55,749.517,0.84351,0.51779,1.25619,0.94633,0.975,0.97792,0.72372,0.99813,0.46606,1.4524,0.00058175,0.00058175,0.00058175
56,762.888,0.84362,0.5199,1.25689,0.99548,0.95155,0.98786,0.72541,0.961,0.44708,1.39258,0.000569375,0.000569375,0.000569375
57,776.246,0.83009,0.5183,1.24968,0.96675,0.96376,0.97375,0.73402,0.96269,0.44264,1.45019,0.000557,0.000557,0.000557
58,789.591,0.82388,0.50246,1.23718,0.97695,0.94597,0.9849,0.733,0.95805,0.45489,1.42661,0.000544625,0.000544625,0.000544625
59,802.973,0.82068,0.50731,1.2468,0.96595,0.96018,0.99083,0.72182,0.99251,0.46122,1.43093,0.00053225,0.00053225,0.00053225
60,816.448,0.82977,0.5097,1.24382,0.97381,0.94167,0.98493,0.74036,0.93637,0.43014,1.38369,0.000519875,0.000519875,0.000519875
61,829.846,0.81463,0.49854,1.23471,0.96025,0.95544,0.96592,0.71723,0.98287,0.45617,1.43963,0.0005075,0.0005075,0.0005075
62,843.43,0.80737,0.49323,1.23127,0.96194,0.96635,0.98833,0.73423,0.93489,0.44301,1.38611,0.000495125,0.000495125,0.000495125
63,856.784,0.80139,0.50133,1.22936,0.95145,0.95833,0.96816,0.7313,0.94339,0.4457,1.39739,0.00048275,0.00048275,0.00048275
64,870.094,0.79414,0.49467,1.22511,0.96653,0.95833,0.97382,0.73115,0.97984,0.45511,1.42023,0.000470375,0.000470375,0.000470375
